QUOTE;AUTHOR;GENRE
But it seems that the judging maybe they shouldn't at least see the practices all week long. That can taint the way they go into the judging and the outlook of what's going to happen, instead of just watching those four minutes and judging on those minutes alone.;Nancy Kerrigan;alone
No one chooses to raise children alone.;Erykah Badu;alone
I'm not saying that there's anything better than mated bliss at its best, but I'm saying that living alone is as good in its own way. But we haven't quite given ourselves permission to recognize that.;Barbara Feldon;alone
It was either Voltaire or Charlie Sheen who said, 'We are born alone. We live alone. We die alone. And anything in between that can give us the illusion that we're not, we cling to.';Gabriel Byrne;alone
Most bands don't even last fourteen months let alone fourteen years.;Peter Steele;alone
I was very happy sitting alone at a dining room table, writing a script.;Conrad Hall;alone
It's always easier if you have the support of your family, if you're not alone. I came from a country that has been through a lot of troubles in the last 20 to 30 years, but we have been through them together.;Novak Djokovic;alone
It's an amazing feeling to go into a studio and really be alone.;Joaquin Phoenix;alone
Not drunk is he who from the floor - Can rise alone and still drink more But drunk is They, who prostrate lies, Without the power to drink or rise.;Thomas Love Peacock;alone
Whatever my individual desires were to be free, I was not alone. There were many others who felt the same way.;Rosa Parks;alone
I'm never less at leisure than when at leisure, or less alone than when alone.;Scipio Africanus;alone
I'm ultimately a widow and a single mother, who's not even getting to be a mother right now. I am so alone, it's freaky.;Courtney Love;alone
I have my best ideas when I am alone.;Leona Lewis;alone
I learned why 'out riding alone' is an oxymoron: An equestrian is never alone, is always sensing the other being, the mysterious but also understandable living being that is the horse.;Jane Smiley;alone
When I walked to school in the mornings I would start out alone but would pick up four other boys along the way. We would set out together after school across the village green.;Roald Dahl;alone
You can't get rid of it with exercise alone. You can do the most vigorous exercise and only burn up 300 calories in an hour. If you've got fat on your body, the exercise firms and tones the muscles. But when you use that tape measure, what makes it bigger? It's the fat!;Jack LaLanne;alone
I'm not into watching stuff I did last week, let alone three or four years ago.;Chris Hemsworth;alone
The accumulation of skill and science which has been directed to diminish the difficulty of producing manufactured goods, has not been beneficial to that country alone in which it is concentrated distant kingdoms have participated in its advantages.;Charles Babbage;alone
Photography can never grow up if it imitates some other medium. It has to walk alone it has to be itself.;Berenice Abbott;alone
Postmodernism surely requires an even greater grasp of symbolism, as it's increasingly an art of gesture alone.;Andrew Eldritch;alone
I try to push ideas away, and the ones that will not leave me alone are the ones that ultimately end up happening.;J. J. Abrams;alone
Writing is a solitary occupation. Family, friends, and society are the natural enemies of the writer. He must be alone, uninterrupted, and slightly savage if he is to sustain and complete an undertaking.;Jessamyn West;alone
I'm a workaholic. Before long I'm traveling on my nervous energy alone. This is incredibly exhausting.;Eva Gabor;alone
I had to weave and play around with a honey bear, you know, and I could wrestle with him a little bit, but there's no way you can even wrestle a honey bear, let alone a grizzly bear that's standing ten feet to eleven feet tall! Can you imagine? But it was fascinating to work that close to that kind of animal.;Leslie Nielsen;alone
Women are smart in business and dumb in love. They won't date outside their zip code, let alone outside the city. They are city snobs.;Patti Stanger;alone
However, anyone to whom this happens should not leave his room upon awakening, should speak to no-one, but remain alone and sober until everything comes back to him, and he recalls the dream.;Paracelsus;alone
The question is what will Mitt Romney do as president if his policy is simply to be hands off and let the government be made so small it can be drowned in a bathtub. In the 21st century global economy, no state alone has the ability to compete against China.;Jennifer Granholm;alone
I was a little doubtful about the propriety of going to the Mammoth Cave without a gentleman escort, but if two ladies travel alone they must have the courage of men.;Maria Mitchell;alone
You can work on the saxophone alone, but ultimately you must perform with others.;Steve Lacy;alone
I'm really lucky that my record companies have been patient with me and leave me alone and give me the time to make it right in my mind.;Sarah McLachlan;alone
I think sometimes all you need is to hear someone else say the same thing that you're going through to realize that you're not alone. I try to put some sense of hope into the songs, into whatever the situation is so that it's not just dirt, drudgery and a life of misery.;Sarah McLachlan;alone
It's only when you're alone that you realize where you are. You have nothing to fall back on except your own resources.;Paul Theroux;alone
The best part about being with a group is that you don't have to do everything alone. You're with your friends.;Justin Timberlake;alone
In a civilized society, all crimes are likely to be sins, but most sins are not and ought not to be treated as crimes. Man's ultimate responsibility is to God alone.;Geoffrey Fisher;alone
People love pretty much the same things best. A writer looking for subjects inquires not after what he loves best, but after what he alone loves at all.;Annie Dillard;alone
Buddhism notes that it is always a mistake to think your soul can go it alone.;Annie Dillard;alone
Good acting is all in the writing. If it isn't on the page, then it really won't make any difference. You cannot act on force of personality alone.;Larry Hagman;alone
I just broke up with my boyfriend, and I've been spending more time alone than I'd like.;Lucinda Williams;alone
I live to hail that season by gifted one foretold, when men shall live by reason, and not alone by gold.;George Linnaeus Banks;alone
Man cannot live by incompetence alone.;Charlotte Whitton;alone
The power of a book lies in its power to turn a solitary act into a shared vision. As long as we have books, we are not alone.;Laura Bush;alone
I know that books I have written will still resonate in 50 years - particularly 'My Sister's Keeper.' It has sold three million copies in the States alone. I strongly feel that, as a novelist, you have a platform and the ability to change people's minds.;Jodi Picoult;alone
With fame there is a crosswire between intensity and intimacy. You have decoy intimacy, but you are also very much alone.;Mike Myers;alone
Do not rely completely on any other human being, however dear. We meet all life's greatest tests alone.;Agnes Macphail;alone
In the country of pain we are each alone.;May Sarton;alone
People like eccentrics. Therefore they will leave me alone, saying that I am a mad clown.;Vaslav Nijinsky;alone
If you would have your son to walk honourably through the world, you must not attempt to clear the stones from his path, but teach him to walk firmly over them - not insist upon leading him by the hand, but let him learn to go alone.;Anne Bronte;alone
All still lifes are actually paintings of the world on the sixth day of creation, when God and the world were alone together, without man!;Robert Musil;alone
I'm a huge Wes Anderson fan I would faint if I met him, let alone got to work with him.;Emma Roberts;alone
Forbidden pleasures alone are loved immoderately when lawful, they do not excite desire.;Quintilian;alone
As regards parents, I should like to see them as highly educated as possible, and I do not restrict this remark to fathers alone.;Quintilian;alone
Government alone cannot solve the problems we deal with in our correctional facilities, treatment centers, homeless shelters and crisis centers - we need our faith-based and community partners.;Dirk Kempthorne;alone
Whoever wants to know something about me - as an artist which alone is significant - they should look attentively at my pictures and there seek to recognise what I am and what I want.;Gustav Klimt;alone
Let your mind alone, and see what happens.;Virgil Thomson;alone
I rise to taste the dawn, and find that love alone will shine today.;Ken Wilber;alone
If men knew how women pass the time when they are alone, they'd never marry.;O. Henry;alone
Americans different in some maybe thoughts or emphasis still have the same ideas. They want a government that lets them be free, that leaves them alone, that doesn't interrupt and interfere with every aspect of their life, that lets them go to work and keep more of what they've worked hard to have.;Mike Huckabee;alone
A good government may, indeed, redress the grievances of an injured people but a strong people can alone build up a great nation.;Thomas Francis Meagher;alone
I made some friends at Listerine and they taught me a little bit about oral care. That half of adults suffer from oral disease, that the number one chronic disease among children is oral disease, that we're only taking care of 25% of our mouths when brushing alone and there are more germs in your mouth than there are people on the planet.;Ginnifer Goodwin;alone
I would point out that I'm an actress for a reason! If I were popular in high school, I would have considered another career because I wouldn't have been alone in my room, making up other characters for myself. I definitely had growing pains. The popular kids didn't want anything to do with the girl who was starting the drama club.;Ginnifer Goodwin;alone
Some players you pat their butts, some players you kick their butts, some players you leave alone.;Pete Rose;alone
My overcoat is worn out my shirts also are worn out. And I ask to be allowed to have a lamp in the evening it is indeed wearisome sitting alone in the dark.;William Tyndale;alone
As for style, there is something about the way musicians dress-they seem to be able to create their own world within their fashion alone.;Nicole Richie;alone
One definition of eternity is that we are not alone on this planet, that there are those who've gone before and those who will come, and that there is a community of spirits.;Rita Dove;alone
I think Mr. Wilson will have to be the rest of the way alone.;Flip Wilson;alone
In art, all who have done something other than their predecessors have merited the epithet of revolutionary and it is they alone who are masters.;Paul Gauguin;alone
In truth, I am a single mother. But I don't feel alone at all in parenting my daughter. Krishna has a whole other side of her family who loves her, too. And so Krishna is parented by me, but also by her grandmother and aunts and cousins and uncles and friends.;Padma Lakshmi;alone
No one can arrive from being talented alone, work transforms talent into genius.;Anna Pavlova;alone
In the U.S. alone, weather disasters caused $50 billion in economic damages in 2010.;Jeff Goodell;alone
Style used to be an interaction between the human soul and tools that were limiting. In the digital era, it will have to come from the soul alone.;Jaron Lanier;alone
What does it mean to not be alone? I've approached that question through music, technology, writing and other means.;Jaron Lanier;alone
I understand and get when kids and teenagers feel like they're alone and it's not going to get better. My advice is that there is a support system out there, there are a lot of people who have been through what you're going through and are going through it now.;Brittany Snow;alone
No enterprise, small or large, public or private, can remain self-governing, let alone successful, so deeply in hock to others as we are about to be.;Mitch Daniels;alone
The methods by which a trade union can alone act, are necessarily destructive its organization is necessarily tyrannical.;Henry George;alone
Our country will, I believe, sooner forgive an officer for attacking an enemy than for letting it alone.;Horatio Nelson;alone
To share our stories is not only a worthwhile endeavor for the storyteller, but for those who hear our stories and feel less alone because of it.;Joyce Maynard;alone
The English Bible - a book which, if everything else in our language should perish, would alone suffice to show the whole extent of its beauty and power.;Thomas B. Macaulay;alone
The object of oratory alone in not truth, but persuasion.;Thomas B. Macaulay;alone
The best rules to form a young man, are, to talk little, to hear much, to reflect alone upon what has passed in company, to distrust one's own opinions, and value others that deserve it.;William Temple;alone
Science is analytical, descriptive, informative. Man does not live by bread alone, but by science he attempts to do so. Hence the deadliness of all that is purely scientific.;Eric Gill;alone
'Tis the last rose of summer Left blooming alone All her lovely companions Are faded and gone.;Thomas More;alone
Lord, Bless our enemies have mercy upon them, may they turn their course and let us alone, and let us live in peace at our homes in our own native land.;William Pennington;alone
I grew up in a very large family in a very small house. I never slept alone until after I was married.;Lewis Grizzard;alone
I like singer-songwriters, and I find sad songs comforting rather than depressing. It makes you realise you're not alone in the world.;Natalie Imbruglia;alone
Without strength and courage it's really hard to perform at the highest levels of international figure skating, because you're alone on the ice and you only have seven minutes over two nights to prove yourself.;Scott Hamilton;alone
Life is so impermanent that it's not about somebody else or things around me, it's about knowing you are completely alone in this world and being content inside.;K. D. Lang;alone
Woman must have her freedom, the fundamental freedom of choosing whether or not she will be a mother and how many children she will have. Regardless of what man's attitude may be, that problem is hers - and before it can be his, it is hers alone.;Margaret Sanger;alone
The foundations of a strong economy don't rest alone on the decisions of Chancellors or the spending programmes of government.;George Osborne;alone
You can't play a symphony alone, it takes an orchestra to play it.;Navjot Singh Sidhu;alone
For the first time, I lived alone... in a luxury apartment on Sunset Strip. For a few days I loved the idea, but I got lonely and restless.;Patty Duke;alone
People must insist on the right to say no, to be alone, to stand out from the herd. Creative artists can say all this in their own way and in their own field, by hard, rigorous work.;Tahar Ben Jelloun;alone
The right to be let alone is the underlying principle of the Constitution's Bill of Rights.;Erwin Griswold;alone
In days of doubt, in days of dreary musings on my country's fate, you alone are my comfort and support, oh great, powerful, righteous, and free Russian language!;Ivan Turgenev;alone
At the moment of childbirth, every woman has the same aura of isolation, as though she were abandoned, alone.;Boris Pasternak;alone
Of all our possessions, wisdom alone is imortal.;Isocrates;alone
What good is sitting all alone in your room?;Liza Minnelli;alone
A career is all very well, but no one lives by work alone.;Lorna Luft;alone
Happiness must be cultivated. It is like character. It is not a thing to be safely let alone for a moment, or it will run to weeds.;Elizabeth Stuart Phelps;alone
The biggest opportunity in 2013 is in Africa. It has seven out of the ten fastest-growing economies in the world. In Nigeria alone there are 100 million people with mobile phones. In total, 300 million Africans - five times the population of Britain - are in the middle class.;David Miliband;alone
The problems that the world faces - from nuclear proliferation to climate change - can't be tackled by the West alone. They need a coalition of not just West and East, but they need a coalition of Christian and Jew and Muslim.;David Miliband;alone
This is nourishing, redemptive we become less alone inside.;David Foster Wallace;alone
I would say, 'I'm alone, but I'm not lonely.' But I was just kidding myself.;Bruce Willis;alone
He who does not fill his world with phantoms remains alone.;Antonio Porchia;alone
I used to do a lot of interviews in the early '80s, when my career started, but it came to a point when I decided I didn't want to talk anymore, and people kind of understood that and left me alone.;George Strait;alone
So many people suffer from abuse, and suffer alone.;Pamela Stephenson;alone
Men was formed for society, and is neither capable of living alone, nor has the courage to do it.;William Blackstone;alone
Is it not careless to become too local when there are four hundred billion stars in our galaxy alone.;A. R. Ammons;alone
You can either invade a country or leave them alone and trade with them. When goods cross borders, armies don't.;John Stossel;alone
It's a terrible thing to be alone - yes it is - it is - but don't lower your mask until you have another mask prepared beneath - as terrible as you like - but a mask.;Katherine Mansfield;alone
You'd think I'd have been happiest in my life playing music in front of 50,000 people at Gillette Stadium. But let me tell you, it's an odd feeling to feel alone in the spotlight.;Kenny Chesney;alone
You're alone in your ideas, because you're the only one who knows what's possible.;Bethenny Frankel;alone
I was born to be alone, and I always shall be but now I want to be.;Mary MacLane;alone
I've performed solo for 20 years now, but I don't do much of it, because if you only play alone, you go crazy and out of tune and play foolish music.;Steve Lacy;alone
Nobody was playing the soprano saxophone and certainly nobody was trying to do anything with it. So I was all alone. I didn't know that at first.;Steve Lacy;alone
We're all outsiders in a way. We're all alone and can become very lonely.;Hugo Weaving;alone
I delight in my family obligations, but they leave little time for breaks let alone quick trips across the country.;Carre Otis;alone
The employee is regarded by the employer merely in the light of his value as an operative. His productive capacity alone is taken into account.;Leland Stanford;alone
I feel less alone when I read the books of Ratzinger.;Oriana Fallaci;alone
You know golf is very lonely. When I'm in the States, I feel like if I just think about Taiwan, my friends, my fans, I won't feel like I'm alone.;Yani Tseng;alone
Even crushed against his brother in the Tube the average Englishman pretends desperately that he is alone.;Germaine Greer;alone
We've just got to be careful - with all sports, let alone cricket - I think there's so much emphasis on doing the right thing all the time, but I think the public want to be entertained when they come to watch sport.;Shane Warne;alone
It depends on the situation. I mean, on one hand there's the argument that people should be left alone on the other hand, there's the argument to wade in a stop slaughters in places like Bosnia and Kosovo and what we probably should have done in Rwanda.;Jello Biafra;alone
Picture yourself vividly as winning, and that alone will contribute immeasurably to success.;Harry Emerson Fosdick;alone
When I was in my early 20s, I had my hair permed. Bad idea! It turned into total frizz. My advice to women is, if you have nice hair already, don't get a perm, leave your hair alone!;Mariska Hargitay;alone
The development of beauty in chess never depends on you alone. No matter how much imagination and creativity you invest, you still do not create beauty. Your opponent must react at the same highest level.;Vladimir Kramnik;alone
I don't know that I spent any more time alone than any other kid, but being by myself never bothered me.;Joseph Barbera;alone
I still don't like going to bed alone.;James Franco;alone
Improvisation is almost like the retarded cousin in the comedy world. We've been trying forever to get improvisation on TV. It's just like stand-up. It's best when it's just left alone. It doesn't translate always on TV. It's best live.;Amy Poehler;alone
Look, the center right coalition in American politics today is best understood as a coalition of groups and individuals that on the issue that brings them to politics what they want from the government is to be left alone.;Grover Norquist;alone
Luckily, my husband is my business partner as well as my life partner, so I never had to do the heavy lifting alone, literally or figuratively.;Josie Maran;alone
Religion is the possibility of the removal of every ground of confidence except confidence in God alone.;Karl Barth;alone
Smart businesses do not look at labor costs alone anymore. They do look at market access, transportation, telecommunications infrastructure and the education and skill level of the workforce, the development of capital and the regulatory market.;Janet Napolitano;alone
Your Majesty, I took the liberty because I was so desirous of visiting alone with you for a few minutes before the rest of the other peasants arrived.;Walter Annenberg;alone
If you talk to geneticists they are constantly finding that your genes are being switched on and off because of the environment. Genes alone do not determine an exact path in your life.;Jeffrey Eugenides;alone
Yes, I am seeking a husband. As soon as the right man asks me, I shall say, It is not good for a woman to live alone.;Anna Held;alone
I knew I was alone in a way that no earthling has ever been before.;Michael Collins;alone
Other nations use 'force' we Britons alone use 'Might'.;Evelyn Waugh;alone
With 'Twilight,' you have these massive tomes that you have to condense. With 'Penoza,' we had an eight episode Dutch series that, just for the pilot alone, I condensed three episodes. So, there's a lot of filling in and a ton of invention that has to happen to fill out eight episodes.;Melissa Rosenberg;alone
Is there no Latin word for Tea? Upon my soul, if I had known that I would have let the vulgar stuff alone.;Hilaire Belloc;alone
For me the Anita series is built like a mystery series, which means that as much as possible each book stands alone, so you have a mystery to solve from the beginning to the end of the book.;Laurell K. Hamilton;alone
It helps to be able to be alone. 'Cuz writing is done alone, unless you collaborate, but I don't do that. Ask my ex-wife.;Dirk Benedict;alone
My favorite thing is to be alone in a room with a blank paper in front of me and the time to fill it.;Dirk Benedict;alone
The question of whether or to what extent human activities are causing global warming is not a matter of ideology, let alone of belief. The issue is simply one of risk management.;Malcolm Turnbull;alone
Once you grow past Mommy and Daddy coming running when you're hurt, you're really on your own. You're alone, and there's no one to help you.;Octavia Butler;alone
The only people who like to live alone more than comics are priests.;Colin Quinn;alone
I feel most empires fell when they started to act human, but then look at Russia. They kept a pretty strong hand, and they fell from Afghanistan alone because Afghanistan is the graveyard of empires. I guess you just can't sustain it.;Colin Quinn;alone
I like my life alone.;Sarah Silverman;alone
By 2050, the Australian population is expected to grow from 22 million to 36 million. That increase alone will put huge pressure on our towns and our cities. We will need more homes, more roads, more rail lines, more hospitals, more schools, just to accommodate so many Australians.;Kevin Rudd;alone
Very few people are original. There's very little original anything out there. Because to be original means you have to stand alone.;Susan Powter;alone
Californians invented the concept of life-style. This alone warrants their doom.;Don DeLillo;alone
He travels fastest who travels alone, and that goes double for she. Real feminism is spinsterhood.;Florence King;alone
The Lord had the wonderful advantage of being able to work alone.;Kofi Annan;alone
Your life is yours and yours alone. Rise up and live it.;Terry Goodkind;alone
By far the greatest part of those goods which are the objects of desire, are procured by labour and they may be multiplied, not in one country alone, but in many, almost without any assignable limit, if we are disposed to bestow the labour necessary to obtain them.;David Ricardo;alone
Trust him not with your secrets, who, when left alone in your room, turns over your papers.;Johann Kaspar Lavater;alone
You may tell a man thou art a fiend, but not your nose wants blowing to him alone who can bear a thing of that kind, you may tell all.;Johann Kaspar Lavater;alone
Between 1910 and 1950 approximately 350 lives of Jesus were published in the English language alone.;John Clayton;alone
You watch a hockey game, and the hand-eye coordination and the speed is really miraculous how those guys track the puck alone, just following it with their eyes.;Liev Schreiber;alone
I never wanted to go on stage alone because if you mess up, who can you blame?;Patti LaBelle;alone
I don't know much about only children. I was the middle one of three, and if ever I was alone with mum and dad, it was a rare moment.;Elizabeth Hurley;alone
Now, on nights that I can't sleep, I play video games alone until the morning.;Namie Amuro;alone
Why can't everybody leave everybody else the hell alone.;Jimmy Durante;alone
I don't wanna hear nobody complain that they're getting paid all this money and people won't leave them alone. It's part of it.;Mark Wahlberg;alone
It's very hard to write a song alone. It's only by jamming that you can get a song together.;Maurice Gibb;alone
I was able to support myself by acting alone about six years ago. Until then, I was just scraping by.;Edie Falco;alone
Eagles commonly fly alone. They are crows, daws, and starlings that flock together.;John Webster;alone
I like being alone and I think this movie, as much as it is an investigation of connection and people bonding, I also think it's just as much about loneliness.;Jason Schwartzman;alone
I am very averse to bringing myself forward in print, but as my account will only appear as an appendage to a former production, and as it will be confined to such topics as have connection with my authorship alone, I can hardly accuse myself of a personal intrusion.;Mary Wollstonecraft Shelley;alone
The secret to being a writer is that you have to write. It's not enough to think about writing or to study literature or plan a future life as an author. You really have to lock yourself away, alone, and get to work.;Augusten Burroughs;alone
When I was old enough to go to movies alone, I got to see 'Frankenstein' and 'Dracula' on the big screen. I just fell in love with them.;George A. Romero;alone
Autobiography begins with a sense of being alone. It is an orphan form.;John Berger;alone
Young people discovering their sexuality must know they walk with a strong tradition and that they are not alone. They have a right to information without being pressured.;Jasmine Guy;alone
Laws are generally found to be nets of such a texture, as the little creep through, the great break through, and the middle-sized are alone entangled in it.;William Shenstone;alone
The athlete of today is not an athlete alone. He's the center of a team - doctors, scientists, coaches, agents and so on.;Emil Zatopek;alone
I don't treat the band like I'm above them or that they're a hired hand for me. We've never worked that way. So I'm a team player. I would be very uncomfortable having to do this alone.;Tom Petty;alone
It is said that man doesn't live by bread alone. Sometimes this is unfortunate, because people who cannot live by bread alone too often kill other people in consequence of the fights they get into.;John McCarthy;alone
For an adult, eating alone at McDonald's is admitting a kind of defeat.;Jonathan Carroll;alone
I tour alone. There's no sound check, no back up. I stay with the hosts I am in a family home and it's really nourishing. I just have to remember after the show not to run out into the living room in my pyjamas. Every day, it's a new relationship being built. It's odd and wonderful.;Jane Siberry;alone
I hope this will help new moms not feel alone or desperate, and that there is no shame in their feelings. PPD is out of their control, but the treatment and healing process is not.;Brooke Shields;alone
It's good that the first half of the speech emphasized freedom, because George W. Bush has been the global champion for freedom. As he said, if we don't fight tyranny it will not leave us alone in peace.;Ernest Istook;alone
All my fans tell me what a glamorous life I have, but I tell them how hard I work and how many nights I spend alone with my dogs, eating chicken pot pie in my bedroom.;Shannen Doherty;alone
I've been left alone, even by the paparazzi, because what sells is sex and scandal. Absent that, they really don't have much interest in you. I'm still married, still working, still happy.;Matt Damon;alone
Although born in a prosperous realm, we did not believe that its boundaries should limit our knowledge, and that the lore of the East should alone enlighten us.;Charles de Secondat;alone
Science and vision are not opposites or even at odds. They need each other. I sometimes hear other startup folks say something along the lines of: 'If entrepreneurship was a science, then anyone could do it.' I'd like to point out that even science is a science, and still very few people can do it, let alone do it well.;Eric Ries;alone
A movie like House of the Dead with around $7 million budget or Alone in the Dark with around $16 million budget are much easier to make profit than the typical $50 million major motion picture.;Uwe Boll;alone
If you're truly in a band and you guys have been together for a long time, there's a family bond that you have. In fact, I've talked about this with therapists, especially if you're talking about a relationship, because when you're with somebody, you're going to your family, and she's alone.;Gary Allan;alone
I mean one of the things about being alone is that you've no people to define yourself off, I mean, people are like all-round mirrors, because let's face it, we don't often see ourselves all round in a mirror anyway, do we.;Diana Wynne Jones;alone
The devil had as good have let Paul alone, for he no sooner comes into prison but he falls a preaching, at which the gates of Satan's prison fly open, and poor sinners come forth.;William Gurnall;alone
Every three days on average, I am alone on stage, facing the public.;Placido Domingo;alone
But in the end, in the end one is alone. We are all of us alone. I mean I'm told these days we have to consider ourselves as being in society... but in the end one knows one is alone, that one lives at the heart of a solitude.;Harold Bloom;alone
The Jew does not wish to be isolated. He fears being alone, without allies.;Meir Kahane;alone
I think that in itself is kind of an amazing achievement to be able to say that your full-time career is in any creative arts, let alone a show that has kept people interested for coming on four seasons and hopefully more.;Anna Paquin;alone
In today's interdependent world, a threat to one becomes a menace to all. And no state can defeat these challenges and threats alone.;Michelle Bachelet;alone
Artists walk alone.;Ezra Miller;alone
Christmas lights may be the loneliest thing for me, especially if you mix them up with reindeers and sleighs. I feel alone. I feel isolated. I feel I do not belong.;Mira Nair;alone
In my cranky old age, I actually prefer recording alone now, on 'The Simpsons,' for example, because I find that the director can just focus on what I'm doing and I can do a lot of variations. A lot of times, when I record with a group, I'll stay after class for another hour or two.;Hank Azaria;alone
I'm so secluded. Very alone.;Yves Saint Laurent;alone
It felt like the first thing, but when I first started out, I got a job adapting a book by Russell Banks called 'Rule Of The Bone.' I didn't do a very good job. I didn't really know what I was doing in general, let alone how to adapt a book.;Paul Thomas Anderson;alone
Let me alone: I have yet my legs and one arm. Tell the surgeon to make haste and his instruments. I know I must lose my right arm, so the sooner it's off the better.;Horatio Nelson;alone
On the stage, you alone hold the key, and on the night you have to trust that the director has inspired you enough to take the material and run with it.;Greta Scacchi;alone
We cannot know the whole truth, which belongs to God alone, but our task nevertheless is to seek to know what is true. And if we offend gravely enough against what we know to be true, as by failing badly enough to deal affectionately and responsibly with our land and our neighbors, truth will retaliate with ugliness, poverty, and disease.;Wendell Berry;alone
I am convinced that living in an enclave shapes the personality, and living alone shapes the personality too.;Mary Douglas;alone
European investment in Texas alone exceeds all U.S. investment in China and Japan put together.;John Bruton;alone
There's great sadness and life doesn't work out like you would want, on a lot of levels, but there's no need to feel all alone. This happens to everybody, so there's no self-pity. This is the ride that humans are on, and all of it is essential for our natural part of it.;Mike Mills;alone
I like to be alone so I can write. But focus can hurt you. I don't want to be some stress casualty in early middle age.;James Ellroy;alone
I am aware that in presenting myself as the advocate of the Indians and their rights, I shall stand very much alone.;Sam Houston;alone
A singer for me is more like someone who is standing alone with a microphone like Scott Walker, rather than someone who is bashing a plank and is spitting all over a microphone.;Graham Coxon;alone
You have to respect your audience. Without them, you're essentially standing alone, singing to yourself.;K. D. Lang;alone
She goes through the vale of death alone, each time a babe is born. As it is the right neither of man nor the state to coerce her into this ordeal, so it is her right to decide whether she will endure it.;Margaret Sanger;alone
There's nobody else on the face of this earth that's playing a sport at a highest level... with a transplant. That alone continues to inspire me, because I realize throughout the whole world the struggles that people are going through. I need to inspire them the best way I can.;Alonzo Mourning;alone
This communication alone, by the comparison of the antagonisms, rivalries, movements which give birth to decisive moments, permits the evolution of the soul, whereby a man realizes himself on earth. It is impossible to be concerned with anything else in art.;Robert Delaunay;alone
I think all teenagers feel alone, and that nobody else knows what they are going through and all that sort of stuff.;Nicholas Hoult;alone
Life certainly points it out to you - 'you can go this way or the other way.' You have to decide and it's a very strong decision because, would you sleep well knowing that you're living in the best place, but you're letting the place where you should live alone?;Gael Garcia Bernal;alone
People with fertility problems are not alone. It is a very very common problem for couples today. I've seen statistics that are just staggering.;Michael Zaslow;alone
No One Is Alone by Stephen Sondheim is all about thinking for yourself and being your own person.;Bernadette Peters;alone
I sailboat raced, I love to go out on my motorcycle alone, but I also love my family dearly. I love that aspect of my life as well.;Bob Seger;alone
Shockingly, a University of Pennsylvania study says the number of young people addicted to gambling - largely due to increased exposure to the Internet and Internet gambling - grew by an alarming 20 percent between 2004 and 2005 alone.;Spencer Bachus;alone
My early childhood prepared me to be a social psychologist. I grew up in a South Bronx ghetto in a very poor family. From Sicilian origin, I was the first person in my family to complete high school, let alone go to college.;Philip Zimbardo;alone
Anyone who writes knows that ultimately the majority of your time is spent alone in a room with a piano or a guitar, no matter what the project is.;Trey Anastasio;alone
You have to understand the tone of the movie, because if it's supposed to be funny, it can be funny violent like the Home Alone stuff, but you have to really understand the tone of what you're doing and make the action work for that and for the character.;David R. Ellis;alone
As the only girl growing up among three brothers, I was always afraid of being excluded. If there was a game to be played, a sport to be learned, a competition to join, I was on my feet and ready. I didn't spend much time alone for fear that I'd miss out.;Elisabeth Shue;alone
I like to read books and be alone I'm not social butterfly person.;Hope Solo;alone
I don't know. I think it's funny! I think it's funny! I go, what? It's so absurd. I'm alone.;Danny DeVito;alone
I personally love to run outdoor fitness trails. I love the meditative value I get when out alone, challenging myself to run faster and higher.;Laurieann Gibson;alone
I can work myself up into a fearful, paralyzing state of mind that can last for days, weeks even months where I feel mad, totally isolated and alone, overwhelmed and completely out of control.;Vinny Guadagnino;alone
I can't write without a reader. It's precisely like a kiss - you can't do it alone.;John Cheever;alone
Glasgow's not a media center. When you're there, when you're hanging about, you feel quite detached from musical movements or fashions or anything like that. You do feel quite alone, in a good way.;Alex Kapranos;alone
I believe in capitalism for everybody, not necessarily high finance but capitalism that works for the working men and women of this country who are out there paddling alone in America right now.;Rick Santorum;alone
But there's not enough time in life to go sit at a party, have a drink, and make idle conversation. There's too many important things to do. Just being together with my husband, spending time alone, which I have very little of.;Pia Zadora;alone
Tell me who is able to keep his bed chaste, or which goddess is able to live with one god alone?;Sextus Propertius;alone
A book is sent out into the world, and there is no way of fully anticipating the responses it will elicit. Consider the responses called forth by the Bible, Homer, Shakespeare - let alone contemporary poetry or a modern novel.;Chaim Potok;alone
I feel completely alone - it's like melting, I am the structure, and I am also Alain Robert.;Alain Robert;alone
I love working with a cast and a group of people every day, which is different than recording because you're usually pretty isolated and alone. They serve as a good balance for each other.;Idina Menzel;alone
I mean Buckingham Palace has never hired a professional public relations outfit let alone a Madison Avenue type and they would throw up their hands in horror at the very idea.;Anthony Holden;alone
Mr. Churchill is proud of Britain's stand alone, after France had fallen and before America entered the War.;Eamon de Valera;alone
I'm actually not an exhibitionist at all. When you get onstage and you get under the lights playing music, I feel more hidden and more alone than anywhere else. You hide behind your music and let your emotions come out through the music.;Tim McGraw;alone
I love nicknames. It makes me feel loved. It makes me feel less alone in this world.;Ellen Page;alone
But there is a discomfort that surrounds grief. It makes even the most well-intentioned people unsure of what to say. And so many of the freshly bereaved end up feeling even more alone.;Meghan O'Rourke;alone
Despite the demands of this job, one of the things my wife and I try to do is to spend time together alone. And one of the things we really enjoy doing together is seeing a good movie.;Warren Christopher;alone
I have Graham Greene's telephone number, but I wouldn't dream of using it. I don't seek out writers because we all want to be alone.;Patricia Highsmith;alone
